Title,Description,Source,Fetched Date,Combined Text,Score,Sentiment
US passes first major national crypto legislation,It marks a milestone for the once fringe industry as it expands its power in Washington,BBC Business,2025-07-18T07:31:02.339260,u pass first major national crypto legislation . mark milestone fringe industry expands power washington,0.1027,Neutral
Meta investors settle 8bn lawsuit with Zuckerberg over Facebook privacy,Shareholders accused Meta leaders of damaging the company by allowing repeat violations of Facebook users privacy,BBC Business,2025-07-18T07:31:02.339260,meta investor settle 8bn lawsuit zuckerberg facebook privacy . shareholder accused meta leader damaging company allowing repeat violation facebook user privacy,-0.8625,Negative
World of Business,Gain the leading edge with global insights for the boardroom and beyond in your inbox every Wednesday,BBC Business,2025-07-18T07:31:02.339260,world business . gain leading edge global insight boardroom beyond inbox every wednesday,0.5267,Positive
Former HSBC trader has fraud conviction overturned,Mark Johnson 59 has fought to establish his innocence ever since he was convicted of fraud in 2017,BBC Business,2025-07-18T07:31:02.339260,former hsbc trader fraud conviction overturned . mark johnson 59 fought establish innocence ever since convicted fraud 2017,-0.8074,Negative
Plans for direct train to Berlin in new UKGermany treaty,It comes as Friedrich Merz makes his first official visit to the UK as German chancellor,BBC Business,2025-07-18T07:31:02.339260,plan direct train berlin new ukgermany treaty . come friedrich merz make first official visit uk german chancellor,0.0,Neutral
Netflix show uses AI effects for first time to cut costs,The streaming firm says AI allowed The Eternauts to complete a sequence faster and cheaper,BBC Business,2025-07-18T07:31:02.339260,netflix show us ai effect first time cut cost . streaming firm say ai allowed eternauts complete sequence faster cheaper,-0.2732,Negative
Why is Donald Trump asking CocaCola to change its recipe,The US president says its better to make the fizzy drink with cane sugar but why might that be,BBC Business,2025-07-18T07:31:02.339260,donald trump asking cocacola change recipe . u president say better make fizzy drink cane sugar might,0.4404,Positive
Spudtacular How India became a french fry superpower,Indias position as a leading exporter of french fries has spurred innovation on potato farms,BBC Business,2025-07-18T07:31:02.339260,spudtacular india became french fry superpower . india position leading exporter french fry spurred innovation potato farm,0.3818,Positive
The deepening water shortage row between the US and Mexico,The US is accusing its southern neighbour of breaking a longheld water sharing agreement,BBC Business,2025-07-18T07:31:02.339260,deepening water shortage row u mexico . u accusing southern neighbour breaking longheld water sharing agreement,0.5106,Positive
I cant drink the water Life next to a US data centre,Residents in rural Georgia say the data centre next door has disrupted their water supply,BBC Business,2025-07-18T07:31:02.339260,cant drink water life next u data centre . resident rural georgia say data centre next door disrupted water supply,0.0,Neutral
