Title,Description,Source,Fetched Date
Google turns to nuclear to power AI data centres,The tech giant says it will use energy from small reactors to power its use of artificial intelligence,BBC Business,2024-10-15T07:24:34.758554
Boba tea company apologises over Canada Dragons Den row,Marvel actor Simu Liu accused Canadian entrepreneurs of culturally appropriating the Taiwanese drink,BBC Business,2024-10-15T07:24:34.758554
Thousands of cars that crash in US are ending up in Russia,The South Caucasus nation of Georgia has a huge used car market with many vehicles finding their way over the border,BBC Business,2024-10-15T07:24:34.758554
Reeves signals hike in National Insurance for firms,The chancellor was speaking at the governments International Investment Summit where deals worth 63bn were hailed,BBC Business,2024-10-15T07:24:34.758554
Why is the latest SpaceX rocket test a big deal,The BBCs Pallab Ghosh explores why this world first test is a big deal for space exploration,BBC Business,2024-10-15T07:24:34.758554
Would Donald Trumps taxes on trade hurt US consumers,What could happen if Donald Trump drastically increases tariffs as he has promised to do,BBC Business,2024-10-15T07:24:34.758554
American equal pay icon Lilly Ledbetter dies aged 86,Alabama womans case led to law signed by Barack Obama that gave Americans more rights to sue for pay discrimination,BBC Business,2024-10-15T07:24:34.758554
I lost 165k to fraud in an hour customers say they were let down by Revolut,Revolut was named in more complaints about fraud last year than any of the UKs biggest banks or emoney services,BBC Business,2024-10-15T07:24:34.758554
Expert says good US corporate earnings likely 14 Oct 2024,Market Strategist Matt Orton says he is optimistic about corporate earnings expected this week,BBC Business,2024-10-15T07:24:34.758554
Harris and Trump gamble 200m on biggest prize,The Keystone State is the lynchpin of the swingstate electoral firewalls for both campaigns,BBC Business,2024-10-15T07:24:34.758554
Trump electric vehicle attacks hit home for Michigan voters,Trumps EV criticism is part of his broader economic message as he tries to appeal to voters in the key swing state,BBC Business,2024-10-15T07:24:34.758554
Good Bad Billionaire,Simon Jack and Zing Tsjeng find out how the worlds billionaires made their money and then judge them Are they good bad or just another billionaire Listen to season two New episodes released on Mondays,BBC Business,2024-10-15T07:24:34.758554
How Duolingo became so addicting according to its CEO,Perhaps no app has mastered user loyalty quite like Duolingo the gamified languagelearning platform 34 million people a day cant put down,BBC Business,2024-10-15T07:24:34.758554
Dreaming of diamonds Generations dig for fortune in Indias gem town,In Panna families hunt for diamonds hoping to strike rich and escape the cycle of poverty,BBC Business,2024-10-15T07:24:34.758554
UK Budget rule change could mean fewer tax rises,Here is how the chancellor could choose to tweak the governments borrowing rules to free up more cash,BBC Business,2024-10-15T07:24:34.758554
Mans sixyear hunt to expose Al Fayed abuse,Keaton Stone spent years compiling evidence after his fiancee told him she was a victim,BBC Business,2024-10-15T07:24:34.758554
Video games industry is booming in Northern Ireland,According to NI Screen there are about 40 gaming companies active in Northern Ireland,BBC Business,2024-10-15T07:24:34.758554
Boeing to axe a tenth of its workers as strike continues,The company says all jobs are at risk as it cuts 10 of its workforce,BBC Business,2024-10-15T07:24:34.758554
Meet the team paid to break into topsecret bases,Hear from the team who test security by breaking into secure military facilities,BBC Business,2024-10-15T07:24:34.758554
Playing with FIRE How to quit work and retire in your 30s,A personal finance strategy popular among millennials is helping them to quit their job and retire decades early,BBC Business,2024-10-15T07:24:34.758554
Boomerang CEOs Do they ever succeed,Five years after being ousted from WeWork Adam Neumann wants to rebuy the nowbankrupt business,BBC Business,2024-10-15T07:24:34.758554
How industry leaders transformed their career,The BBCs Katty Kay has spoken to successful changemakers to ask what made them pivot in their career,BBC Business,2024-10-15T07:24:34.758554
Women were the original beer brewers what changed,Today the beer industry is maledominated but it wasnt always so,BBC Business,2024-10-15T07:24:34.758554
How waiting alters our perception of time,Expert advice on how to get through a waiting period,BBC Business,2024-10-15T07:24:34.758554
Do the superrich deserve their wealth,Should there be a cap on billionaires wealth and their inheritances,BBC Business,2024-10-15T07:24:34.758554
Four simple hacks to succeed in every conversation,A career coach a choreographer a chef and a dragon boat captain offer advice on giving critical feedback,BBC Business,2024-10-15T07:24:34.758554
Solo and hybrid work Navigating our future and new normal,Covid19 reshaped the way we live and work We rethink solo working and explore the future of worklife,BBC Business,2024-10-15T07:24:34.758554
Can supersonic flight ever be sustainable,How a new era of quiet net zero supersonic airliners could revolutionise the aviation industry,BBC Business,2024-10-15T07:24:34.758554
Commencement speech The surprising pitfall of your passions,Students are graduating in the US this week The commencement speeches might lead them into questionable choices,BBC Business,2024-10-15T07:24:34.758554
ASMR How whispering took over the internet,We meet the creators behind the current ASMR boom,BBC Business,2024-10-15T07:24:34.758554
A desk full of descriptions for your work colleagues,These are the long lost words youve been waiting for to describe your colleagues,BBC Business,2024-10-15T07:24:34.758554
Veterinarian suicide rates are very high Why,Veterinarian professionals are committing suicide at a higher rate than the general population,BBC Business,2024-10-15T07:24:34.758554
Slowing wage growth raises hopes of rate cut,Expectations of a rate cut next month increase as pay growth slows to its lowest rate for more than two years,BBC Business,2024-10-15T07:24:34.758554
When is the Budget and what might be in it,Chancellor Rachel Reeves will set out the governments financial plans for the next year,BBC Business,2024-10-15T07:24:34.758554
Mortgage costs unlikely to return to low levels,The boss of the UKs biggest lender says mortgage costs are unlikely to fall to levels seen in the past decade,BBC Business,2024-10-15T07:24:34.758554
PO owner to attend summit despite row over UK ministers comments,It had been feared they might pull out after Transport Secretary Louise Haigh criticised the ferry firm and urged consumers to boycott the company,BBC Business,2024-10-15T07:24:34.758554
Post Office scandal Five things we learned from the boss,The quizzing of Post Office chief executive Nick Read this week produced some key revelations,BBC Business,2024-10-15T07:24:34.758554
Talks over 1bn UK port expansion ongoing after row,Reports have suggested the plan was at risk after Transport Secretary Louise Haighs comments,BBC Business,2024-10-15T07:24:34.758554
Labour accused of riding roughshod on solar farms,A council leader hits out after a project becomes the third to be unveiled in Norfolk recently,BBC Business,2024-10-15T07:24:34.758554
Firms pausing hiring and investing ahead of UK government Budget,A leading business group says firms are delaying decisions wanting more clarity over the governments policies,BBC Business,2024-10-15T07:24:34.758554
How fast is the UKs economy growing,How the health of the UK economy is measured and why the GDP calculation matters,BBC Business,2024-10-15T07:24:34.758554
ILLIT KATSEYE and RIIZE to Perform at FirstEver LA Ceremony of KPopCentric MAMA Awards,The CJ Entertainmentproduced award show touted as the No 1 KPop awards will hold the first night of the twoday long ceremony at the Dolby Theatre marking the shows first expansion into the US,Hollywood Reporter,2024-10-15T07:24:35.019858
Hollywoods HighestProfile Harris Endorsements Taylor Swift George Clooney Bruce Springsteen and More,Celebrities have expressed their support for the Democratic ticket this November Heres 11 of the biggest names,Hollywood Reporter,2024-10-15T07:24:35.019858
I Robot Director Mocks Elon Musk for Tesla Ripping Off Film for Optimus Robotaxi Can I Have My Designs Back Please,After Teslas planned robot products were presented social media called out the company for aping the 2004 film with even director Alex Proyas weighing in,Hollywood Reporter,2024-10-15T07:24:35.019858
Arlene Winnick Veteran Entertainment Publicist Dies at 77,Winnick worked in Hollywood for more than 30 years most recently at Digney Co Public Relations,Hollywood Reporter,2024-10-15T07:24:35.019858
Kanye Ye West Sued by ExAssistant for Allegedly Drugging Sexually Assaulting Her During a Diddy Studio Session,Lauren Pisciotta previously sued her former employer for sexual harassment breach of contract and wrongful termination,Hollywood Reporter,2024-10-15T07:24:35.019858
The Blacklisting of a Great Artist Paul Robesons Exile From Hollywood,A preeminent artistactivist of the midtwentieth century his banishment by the studios lasted longer than any other performer of the blacklist era twentyfive years ending only with his death,Hollywood Reporter,2024-10-15T07:24:35.019858
Channing Dungey Praises Debra Lee for Shattering Barriers Paving the Way for Women of Color in Media,The former BET CEO and Warner Bros Motion Picture Group coCEO Pamela Abdy were both honored at Big Brothers Big Sisters Los Angeles gala,Hollywood Reporter,2024-10-15T07:24:35.019858
Toni Vaz NAACP Image Awards Creator Dies at 101,The trailblazer who worked as an actress stuntwoman and extra appeared in more than 50 films and shows like The Singing Nun Tarzan the Ape Man and as Cicely Tysons double in Mission Impossible,Hollywood Reporter,2024-10-15T07:24:35.019858
HarrisWalz Campaign Partners With Stars Filmmakers and Former Presidents for Video Series,The series features Barack Obama Bill Clinton Doug Emhoff Spike Lee Stevie Wonder Kerry Washington Ava DuVernay Eva Longoria JJ Abrams and more,Hollywood Reporter,2024-10-15T07:24:35.019858
Nicky Hilton Blows Out Some Candles And Sells Some Minis,The now 41yearold hotel chain heiress celebrated her birthday with a bash in Bel Air where she also unveiled her new clothing collab with Aussie designer Rebecca Vallance,Hollywood Reporter,2024-10-15T07:24:35.019858
Upgrade Your Cinematic Experience this Festival Season with LG CineBeam Q,This cuttingedge projector brings awardwinning films right to your home,Hollywood Reporter,2024-10-15T07:24:35.019858
Ryan Reynolds and Blake Lively Donate 1M to Feeding America for Hurricane Relief,The couples donation for relief efforts comes on the heels of a 5 million gift from one of their closest friends Taylor Swift,Hollywood Reporter,2024-10-15T07:24:35.019858
Banished Olympian announces career shift,An Olympic swimmer who was kicked out of the athletes village has announced her next career move following the Paris Olympics,News AU,2024-10-15T07:24:36.628887
Fears for Aussie world champs safety,The family of Australian surfer Tyler Wright is concerned for the world champions safety after an announcement was roundly slammed,News AU,2024-10-15T07:24:36.628887
Trade live Houston gets his wish in blockbuster fiveplayer trade,The story that has dominated the trade period thus far has finally concluded with a fiveplayer mega deal unlocking Dan Houstons move back to Victoria FOLLOW LIVE,News AU,2024-10-15T07:24:36.628887
Cleary reveals why Gould sacked him,Ivan Cleary has revealed he hasnt spoken to Phil Gould the man who sacked him in five years Cleary opens up like never before,News AU,2024-10-15T07:24:36.628887
Thats garbage AFL reacts to wild trade,An AFL great has called for heads to roll at West Coast as a bombshell theory emerged about the clubs shock trade,News AU,2024-10-15T07:24:36.628887
Massive shift How Blues star ignited career,A Carlton star reveals how she overcame a classic case of secondyear blues as she becomes the first fatherdaughter pick to reach a milestone,News AU,2024-10-15T07:24:36.628887
New Aussie era begins with six fresh faces,A new halves pairing and a new captain will roll out for the Kangaroos on Friday night against a Tongan outfit fearing no team,News AU,2024-10-15T07:24:36.628887
Fill in Digital fail hits Maxwell return,Anyone following the online scoreboard wouldnt have known Glenn Maxwell was even batting for the Victorian second XI and his stay at the crease in his redball return was short lived,News AU,2024-10-15T07:24:36.628887
Only 13 Teen quicks stunning callup,A teenage fast bowler who is only a few years out of primary school is on the verge of a bigtime debut,News AU,2024-10-15T07:24:36.628887
Kyrgios roasts Tomic over 39min bloodbath,Nick Kyrgios couldnt resist sledging Bernard Tomic after the forgotten Aussie tennis star made history in the worst way possible,News AU,2024-10-15T07:24:36.628887
Shut people up Kyrgios announces big news,Nick Kyrgios has revealed a personal grudge is behind the news hes dropped that has got the tennis world talking,News AU,2024-10-15T07:24:36.628887
Broncos coachs unforgivable act of treason,Michael Maguire has been brutally called out over a gut punch inflicted on an entire state as the real losers of his bombshell move emerge,News AU,2024-10-15T07:24:36.628887
Elephant in the room in Grand Final loss,The Sydney Swans have let another golden opportunity slip and theres an inescapable truth their supporters wont want to hear,News AU,2024-10-15T07:24:36.628887
Infuriating detail on AFL premiership Cup,Its the trophy every team wants to lift on Grand Final day but one missing detail continues to baffle AFL fans Now its been explained,News AU,2024-10-15T07:24:36.628887
Bathurst crew winner attacked hospitalised,Bathurst champion Brodie Kostecki has dropped shock news a member of his team has been attacked Police are investigating,News AU,2024-10-15T07:24:36.628887
Sick champion still grabs Bathurst pole,Reigning Supercars champion Brodie Kostecki battled illness to claimed Bathurst 1000 pole after a stunning effort in the Shootout,News AU,2024-10-15T07:24:36.628887
Surprising side of WAGs cancer diagnosis,An AFL WAG battling a horrific bowel cancer diagnosis has shared some of the unexpected side effects of her illness,News AU,2024-10-15T07:24:36.628887
Aussie stars sad reaction to brutal trolls,Bulls guard Josh Giddey has had a devastating response to an Instagram post from his new NBA club that quickly blew up,News AU,2024-10-15T07:24:36.628887
NBA superstar open to shock Boomers switch,Superstar Kyrie Irving who was born in Australia has discussed the shock possibility of joining the Boomers for the LA Olympics,News AU,2024-10-15T07:24:36.628887
History rides against Socceroos in crucial clash with Japan,History is against the Socceroos but Australia could spring an almighty upset if a piece of Tony Popovics past can be recreated when they face Japan Follow the action here live tonight,News AU,2024-10-15T07:24:36.628887
Victory star eager to get better,One of Melbourne Victorys star players has had to adjust to the different tactics of the clubs new coach,News AU,2024-10-15T07:24:36.628887
Everything you need to know about Tszyu vs Murtazaliev,Tim Tszyu s loss against Sebastian Fundora is behind him now he is ready for redemption against undefeated Russian fighter Bakhram Murtazaliev Here is your ultimate guide to the world title fight,News AU,2024-10-15T07:24:36.628887
SA star comes up clutch to win in second playoff hole at WA PGA,It took a second suddendeath playoff hole to split South Australian Jack Buchanan and West Australian Jordan Doull in an epic finish to the WA PGA Championship,News AU,2024-10-15T07:24:36.628887
NBL late mail Two Breakers injured SuperCoach star signs on,New Zealand is the goto team for trades this week but two players wont be fronting up for the round 5 double Plus some big news on a very big name in SuperCoach,News AU,2024-10-15T07:24:36.628887
Im ready Sad sight for NRL lovers,Less than a month after playing in an NRL preliminary final the newest multimilliondollar signing for Australian rugby declared himself ready to wear Wallaby gold,News AU,2024-10-15T07:24:36.628887
Arrest warrant out for exWallabies captain,An international arrest warrant has been issued for a Wallabies captain over his conduct during his time in charge of a French club,News AU,2024-10-15T07:24:36.628887
Pressure wont Warp Japanese Caulfield Cup contender,Nobody at Caulfield was able to miss Japanese Caulfield Cup hopeful Warp Speed as the stayer completed his preparation with a look at the venue for Saturdays 5m challenge,News AU,2024-10-15T07:24:36.628887
Teen cyclist dead after horror incident,The cycling community has been rocked with news of an 18yearold dying following a horror incident at the world championships,News AU,2024-10-15T07:24:36.628887
