Title,Description,Source,Fetched Date
Trump nominates Bessent to lead US Treasury in flurry of announcements,He also announces nominees for labour secretary housing secretary and surgeon general,BBC Business,2024-11-23T07:24:07.355475
Analysis Will UK chancellors difficult week cause her lasting damage,BBCs Ben Wright looks at the impact of a tricky week of scrutiny for the chancellor,BBC Business,2024-11-23T07:24:07.355475
World of Business,Gain the leading edge with global insights for the boardroom and beyond in your inbox every Wednesday,BBC Business,2024-11-23T07:24:07.355475
Gary Gensler to leave role as SEC chairman,Donald Trump revealed plans to sack Mr Gensler on day one of his new administration,BBC Business,2024-11-23T07:24:07.355475
Temu owners shares slump as China slowdown hits sales,USlisted shares of the ecommerce giant fell nearly 11 on Thursday following the announcement,BBC Business,2024-11-23T07:24:07.355475
Spain fines budget airlines including Ryanair 179m,The government says charging for hand luggage and printing boarding passes at the airport are abusive practices,BBC Business,2024-11-23T07:24:07.355475
Satellite images show Russia giving N Korea oil breaking sanctions,Satellite image analysis shows several North Korean tankers visiting Russia dozens of times since March,BBC Business,2024-11-23T07:24:07.355475
The mighty material that supercharges jet engines,Hitech coatings make all sorts of high performance engineering like jet engines possible,BBC Business,2024-11-23T07:24:07.355475
Inside South Africas ruthless gangcontrolled gold mines,Illegal miners live dangerously but make roaring profits selling gold on the black market,BBC Business,2024-11-23T07:24:07.355475
Is nuclear power gaining new energy,Countries around the world are building new nuclear power stations,BBC Business,2024-11-23T07:24:07.355475
Investors wary of incoming administration 22 Nov 2024,As US shares lock in a week of gains investors are keeping an eye out for the new administrations policies,BBC Business,2024-11-23T07:24:07.355475
Good Bad Billionaire,Simon Jack and Zing Tsjeng find out how the worlds billionaires made their money and then judge them Are they good bad or just another billionaire Listen to season two New episodes released on Mondays,BBC Business,2024-11-23T07:24:07.355475
The business of transforming mental health at work,Cherie Clonan CEO of The Digital Picnic explains how free dinners burnoutpreventing days off and even ADHD assessments have boosted employee wellbeing and her bottom line,BBC Business,2024-11-23T07:24:07.355475
How Adanis US fraud charges impact Indias economy and politics,The charges could jeopardise the ambitions of one of the worlds richest men both at home and abroad,BBC Business,2024-11-23T07:24:07.355475
Fraud probe launched into defence firm Thales,Thales UK which has its headquarters in Berkshire employs more than 7000 staff across the country,BBC Business,2024-11-23T07:24:07.355475
Trudeau plays Santa with seasonal tax break,The opposition calls Trudeaus tax measures a trick aimed at deflecting attention from rising costs,BBC Business,2024-11-23T07:24:07.355475
Sell Chrome to end search monopoly Google told,The tech giant is resisting fiercely calling the proposal wildly overbroad and claiming it will hurt consumers,BBC Business,2024-11-23T07:24:07.355475
Thousands of PayPal customers report brief outage,The online payment company says a brief technical issue has now been resolved,BBC Business,2024-11-23T07:24:07.355475
US charges Indian billionaire Gautam Adani with fraud,The Adani Group has denied the allegations of bribery and fraud calling them baseless,BBC Business,2024-11-23T07:24:07.355475
Playing with FIRE How to quit work and retire in your 30s,A personal finance strategy popular among millennials is helping them to quit their job and retire decades early,BBC Business,2024-11-23T07:24:07.355475
Boomerang CEOs Do they ever succeed,Five years after being ousted from WeWork Adam Neumann wants to rebuy the nowbankrupt business,BBC Business,2024-11-23T07:24:07.355475
How industry leaders transformed their career,The BBCs Katty Kay has spoken to successful changemakers to ask what made them pivot in their career,BBC Business,2024-11-23T07:24:07.355475
Women were the original beer brewers what changed,Today the beer industry is maledominated but it wasnt always so,BBC Business,2024-11-23T07:24:07.355475
How waiting alters our perception of time,Expert advice on how to get through a waiting period,BBC Business,2024-11-23T07:24:07.355475
Do the superrich deserve their wealth,Should there be a cap on billionaires wealth and their inheritances,BBC Business,2024-11-23T07:24:07.355475
Four simple hacks to succeed in every conversation,A career coach a choreographer a chef and a dragon boat captain offer advice on giving critical feedback,BBC Business,2024-11-23T07:24:07.355475
Solo and hybrid work Navigating our future and new normal,Covid19 reshaped the way we live and work We rethink solo working and explore the future of worklife,BBC Business,2024-11-23T07:24:07.355475
Can supersonic flight ever be sustainable,How a new era of quiet net zero supersonic airliners could revolutionise the aviation industry,BBC Business,2024-11-23T07:24:07.355475
Commencement speech The surprising pitfall of your passions,Students are graduating in the US this week The commencement speeches might lead them into questionable choices,BBC Business,2024-11-23T07:24:07.355475
ASMR How whispering took over the internet,We meet the creators behind the current ASMR boom,BBC Business,2024-11-23T07:24:07.355475
A desk full of descriptions for your work colleagues,These are the long lost words youve been waiting for to describe your colleagues,BBC Business,2024-11-23T07:24:07.355475
Veterinarian suicide rates are very high Why,Veterinarian professionals are committing suicide at a higher rate than the general population,BBC Business,2024-11-23T07:24:07.355475
Bluesky chief doesnt know age limit for platform,Jay Graber wrongly said you needed to be 18 to use Bluesky when the actual age limit is 13,BBC Business,2024-11-23T07:24:07.355475
Archegos boss sentenced to prison over massive fraud,Hwang was found guilty of fraud in a case that cost Wall Street banks billions of dollars in losses,BBC Business,2024-11-23T07:24:07.355475
Are Kpop stars workers South Korea says no,In a dispute involving band NewJeans the government said celebrities were not entitled to the same rights as workers,BBC Business,2024-11-23T07:24:07.355475
Uncertainty after Australia foreign students bill hits opposition,Universities had already begun making changes as the controversial bill was expected to easily pass,BBC Business,2024-11-23T07:24:07.355475
Ford cuts 800 jobs claiming weak demand for electric cars,The move is part of a wider restructuring programme which will see 4000 posts closed across Europe,BBC Business,2024-11-23T07:24:07.355475
Logan Paul accused of misleading fans over crypto investments,New evidence suggests the YouTuber promoted investments without revealing his financial interest in them,BBC Business,2024-11-23T07:24:07.355475
Palestinian olive harvest under threat from Israeli attacks and restrictions,Harvesting olives is an economic necessity for many Palestinians but it is increasingly precarious,BBC Business,2024-11-23T07:24:07.355475
Al Fayed abuse could be on scale of Savile says survivors advocate,Speaking about her new role Dame Jasvinder Sanghera says Al Fayeds tentacles went far and wide,BBC Business,2024-11-23T07:24:07.355475
Trump selects financier Howard Lutnick as commerce secretary,Trump said Lutnick would lead the administrations tariff and trade agenda,BBC Business,2024-11-23T07:24:07.355475
Power Lawyers THRs Top Music Attorneys of 2024,Recording stars hungry for films tours and huge catalog payoffs turn to these 16 charttopping attorneys,Hollywood Reporter,2024-11-23T07:24:07.713862
The 20 Best Music Schools in the World,From New York to Northridge our annual list of the institutions preparing the next generation of composers across all media,Hollywood Reporter,2024-11-23T07:24:07.713862
Lando Norris Is Just a Normal Guy Who Also Drives Really Cool Race Cars,The Hollywood Reporters newest Person of Interest the 25yearold British driver for McLarens Formula 1 team is always finding joy in the exhilarating racewinning moments but also the quiet everyday ones,Hollywood Reporter,2024-11-23T07:24:07.713862
Patton Oswalt Comic Minor Threats Launches Anthology Spinoff With Matt Fraction Brian Michael Bendis Exclusive,Writers Gail Simone and Gerry Duggan and artists Michael Allred and Gene Ha are also among those working in the universe of the cult hit comic published by Dark Horse Entertainment,Hollywood Reporter,2024-11-23T07:24:07.713862
Jussie Smolletts Conviction in Alleged Hoax Street Attack Overturned by Illinois Supreme Court,The former Empire actor has been on a legal roller coaster after he claimed in 2019 that he was attacked in Chicago by two Black men who hurled homophobic slurs at him and yelled This is MAGA country,Hollywood Reporter,2024-11-23T07:24:07.713862
Matt Gaetz Withdraws as Trumps Pick for Attorney General,While the momentum was strong it is clear that my confirmation was unfairly becoming a distraction to the critical work of the TrumpVance Transition Gaetz said in a statement,Hollywood Reporter,2024-11-23T07:24:07.713862
Muni Long Explains How She Made It,The singer opens up about her TikTok hit Made for Me working with Mariah Carey and the perils of being a songwriter Not getting credit not getting paid the producer running off with the money it happened to me,Hollywood Reporter,2024-11-23T07:24:07.713862
FCC Chair Jessica Rosenworcel to Step Down Next Year,Rosenworcel will be succeeded atop the Commission by Brendan Carr,Hollywood Reporter,2024-11-23T07:24:07.713862
BAFTA Breakthrough 2024 Mawaan Rizwan Nava Mau Among 43 MustWatch Young Creatives,The latest cohort of upandcoming talent also includes an editor on BAFTAwinning Top Boy and a costume designer on the Glen Powellled Netflix movie Hit Man,Hollywood Reporter,2024-11-23T07:24:07.713862
Meet the New Trump Resistance Europes Filmmakers,Progressive continental auteurs arent ready to give up on America just yet But their governments are less inclined to pick a fight with the Presidentelect,Hollywood Reporter,2024-11-23T07:24:07.713862
