Title,Description,Source,Fetched Date,Combined Text,Score,Sentiment
When TikToks underconsumption trend meets festive excess,Underconsumption core encourages users to buy less and make the most of what they have,BBC Business,2024-12-23T07:23:45.502429,tiktoks underconsumption trend meet festive excess . underconsumption core encourages user buy less make,0.7096,Positive
Trump threatens to try to regain control of Panama Canal,It prompts a sharp rebuke from Panamas president who says every square metre of the canal belongs to his country,BBC Business,2024-12-23T07:23:45.502429,trump threatens try regain control panama canal . prompt sharp rebuke panama president say every square metre canal belongs country,-0.3818,Negative
World of Business,Gain the leading edge with global insights for the boardroom and beyond in your inbox every Wednesday,BBC Business,2024-12-23T07:23:45.502429,world business . gain leading edge global insight boardroom beyond inbox every wednesday,0.5267,Positive
Somali piracy 20 the BBC meets the new robbers of the high seas,Two fishermen tell the BBC why they have decided to become pirates in search of big ransoms,BBC Business,2024-12-23T07:23:45.502429,somali piracy 20 bbc meet new robber high sea . two fisherman tell bbc decided become pirate search big ransom,-0.5574,Negative
Christmas getaway Tips to avoid disruption,Some 14 million drivers are expected to hit the road in the last weekend before Christmas according to the RAC,BBC Business,2024-12-23T07:23:45.502429,christmas getaway tip avoid disruption . 14 million driver expected hit road last weekend christmas according rac,-0.5719,Negative
Heathrow cancels flights as wind hits festive travel,Strong winds are continuing to cause some disruption as millions of people travel ahead of Christmas,BBC Business,2024-12-23T07:23:45.502429,heathrow cancel flight wind hit festive travel . strong wind continuing cause disruption million people travel ahead christmas,0.4215,Positive
Elon Musks curious fixation with Britain,The tycoon has changed his tune when it comes to the UK and there are clues which help to explain why,BBC Business,2024-12-23T07:23:45.502429,elon musk curious fixation britain . tycoon changed tune come uk clue help explain,0.6124,Positive
Heroism attributed to CEO murder suspect is alarming Mayorkas,The US Homeland Security Secretary says rhetoric about the murder suspect is concerning,BBC Business,2024-12-23T07:23:45.502429,heroism attributed ceo murder suspect alarming mayorkas . u homeland security secretary say rhetoric murder suspect concerning,-0.8442,Negative
What now for Syrias 45bn illegal drug empire,As those in the lucrative Captagon network move aside how will the new leaders stop any criminals waiting in the wings to replace them,BBC Business,2024-12-23T07:23:45.502429,syria 45bn illegal drug empire . lucrative captagon network move aside new leader stop criminal waiting wing replace,-0.8481,Negative
Trumps shutdown gamble exposes limits of his power,Trump showed he can kill legislation but he failed to rally Republicans behind his alternative plan,BBC Business,2024-12-23T07:23:45.502429,trump shutdown gamble expose limit power . trump showed kill legislation failed rally republican behind alternative plan,-0.8625,Negative
Robinhood CEO Crypto under relentless assault 19 Dec 2024,The CEO of online investing platform Robinhood says the Trump administration will be very good for business,BBC Business,2024-12-23T07:23:45.502429,robinhood ceo crypto relentless assault 19 dec 2024. ceo online investing platform robinhood say trump administration good business,-0.1779,Neutral
Good Bad Billionaire,Simon Jack and Zing Tsjeng find out how the worlds billionaires made their money and then judge them Are they good bad or just another billionaire Listen to season two New episodes released on Mondays,BBC Business,2024-12-23T07:23:45.502429,good bad billionaire . simon jack zing tsjeng find world billionaire made money judge good bad another billionaire listen season two new episode released monday,-0.296,Negative
How one product made a multimillion dollar brand,Nell Diamond CEO of Hill House Home shares how her small business skyrocketed to global success with the launch of the Nap Dress in 2019,BBC Business,2024-12-23T07:23:45.502429,one product made multimillion dollar brand . nell diamond ceo hill house home share small business skyrocketed global success launch nap dress 2019,0.8074,Positive
The rise of Spotify Wrapped and its copycats,From Duolingo to Sainsburys companies have hopped onto the year in review bandwagon following the success of Spotify Wrapped,BBC Business,2024-12-23T07:23:45.502429,rise spotify wrapped copycat . duolingo sainsburys company hopped onto year review bandwagon following success spotify wrapped,0.5719,Positive
Pressure on parents for Instagramworthy Christmas,Social media trends as well as pressure to attend events are driving up costs parents say,BBC Business,2024-12-23T07:23:45.502429,pressure parent instagramworthy christmas . social medium trend well pressure attend event driving cost parent say,-0.3182,Negative
US avoids government shutdown after days of political turmoil,President Biden signs a budget to avert what would be the first US federal shutdown since 2019,BBC Business,2024-12-23T07:23:45.502429,u avoids government shutdown day political turmoil . president biden sign budget avert would first u federal shutdown since 2019,-0.5994,Negative
Google suggests fixes to its search monopoly,Google proposed new limits after a judge ruled Google illegally crushed competition in search,BBC Business,2024-12-23T07:23:45.502429,google suggests fix search monopoly . google proposed new limit judge ruled google illegally crushed competition search,-0.4215,Negative
The Indian family that built a business empire in Hawaii from scratch,From businesses to philanthropy the Watumull family is inextricably linked with Hawaiian history,BBC Business,2024-12-23T07:23:45.502429,indian family built business empire hawaii scratch . business philanthropy watumull family inextricably linked hawaiian history,0.0,Neutral
Sega considering Netflixlike game subscription service,Its another sign the industry is moving away from owning games some fear that means gamers having to shell out more,BBC Business,2024-12-23T07:23:45.502429,sega considering netflixlike game subscription service . another sign industry moving away owning game fear mean gamers shell,-0.4939,Negative
Playing with FIRE How to quit work and retire in your 30s,A personal finance strategy popular among millennials is helping them to quit their job and retire decades early,BBC Business,2024-12-23T07:23:45.502429,playing fire quit work retire 30 . personal finance strategy popular among millennials helping quit job retire decade early,0.5267,Positive
Boomerang CEOs Do they ever succeed,Five years after being ousted from WeWork Adam Neumann wants to rebuy the nowbankrupt business,BBC Business,2024-12-23T07:23:45.502429,boomerang ceo ever succeed . five year ousted wework adam neumann want rebuy nowbankrupt business,0.5423,Positive
How industry leaders transformed their career,The BBCs Katty Kay has spoken to successful changemakers to ask what made them pivot in their career,BBC Business,2024-12-23T07:23:45.502429,industry leader transformed career . bbcs katty kay spoken successful changemakers ask made pivot career,0.5859,Positive
Women were the original beer brewers what changed,Today the beer industry is maledominated but it wasnt always so,BBC Business,2024-12-23T07:23:45.502429,woman original beer brewer changed . today beer industry maledominated wasnt always,0.3182,Positive
How waiting alters our perception of time,Expert advice on how to get through a waiting period,BBC Business,2024-12-23T07:23:45.502429,waiting alters perception time . expert advice get waiting period,0.0,Neutral
Do the superrich deserve their wealth,Should there be a cap on billionaires wealth and their inheritances,BBC Business,2024-12-23T07:23:45.502429,superrich deserve wealth . cap billionaire wealth inheritance,0.7506,Positive
Four simple hacks to succeed in every conversation,A career coach a choreographer a chef and a dragon boat captain offer advice on giving critical feedback,BBC Business,2024-12-23T07:23:45.502429,four simple hack succeed every conversation . career coach choreographer chef dragon boat captain offer advice giving critical feedback,0.5106,Positive
Solo and hybrid work Navigating our future and new normal,Covid19 reshaped the way we live and work We rethink solo working and explore the future of worklife,BBC Business,2024-12-23T07:23:45.502429,solo hybrid work navigating future new normal . covid19 reshaped way live work rethink solo working explore future worklife,0.0,Neutral
Can supersonic flight ever be sustainable,How a new era of quiet net zero supersonic airliners could revolutionise the aviation industry,BBC Business,2024-12-23T07:23:45.502429,supersonic flight ever sustainable . new era quiet net zero supersonic airliner could revolutionise aviation industry,0.0,Neutral
Commencement speech The surprising pitfall of your passions,Students are graduating in the US this week The commencement speeches might lead them into questionable choices,BBC Business,2024-12-23T07:23:45.502429,commencement speech surprising pitfall passion . student graduating u week commencement speech might lead questionable choice,0.4404,Positive
ASMR How whispering took over the internet,We meet the creators behind the current ASMR boom,BBC Business,2024-12-23T07:23:45.502429,asmr whispering took internet . meet creator behind current asmr boom,0.0,Neutral
A desk full of descriptions for your work colleagues,These are the long lost words youve been waiting for to describe your colleagues,BBC Business,2024-12-23T07:23:45.502429,desk full description work colleague . long lost word youve waiting describe colleague,-0.3182,Negative
Veterinarian suicide rates are very high Why,Veterinarian professionals are committing suicide at a higher rate than the general population,BBC Business,2024-12-23T07:23:45.502429,veterinarian suicide rate high . veterinarian professional committing suicide higher rate general population,-0.8658,Negative
Netflix wins US rights for Womens World Cups,Netflix secures the rights to show live coverage of the 2027 and 2031 Womens World Cups in the United States,BBC Business,2024-12-23T07:23:45.502429,netflix win u right womens world cup . netflix secures right show live coverage 2027 2031 womens world cup united state,0.836,Positive
