Title,Description,Source,Fetched Date,Combined Text,Score,Sentiment
I lost 165k to fraud in an hour customers say they were let down by Revolut,There were more reports of fraud naming Revolut last year than any other financial institution BBC finds,BBC Business,2024-10-14T07:27:02.175438,lost 165k fraud hour customer say let revolut . report fraud naming revolut last year financial institution bbc find,-0.872,Negative
Dreaming of diamonds Generations dig for fortune in Indias gem town,In Panna families hunt for diamonds hoping to strike rich and escape the cycle of poverty,BBC Business,2024-10-14T07:27:02.175438,dreaming diamond generation dig fortune india gem town . panna family hunt diamond hoping strike rich escape cycle poverty,0.7964,Positive
Boeing to axe a tenth of its workers as strike continues,The company says all jobs are at risk as it cuts 10 of its workforce,BBC Business,2024-10-14T07:27:02.175438,boeing axe tenth worker strike continues . company say job risk cut 10 workforce,-0.6249,Negative
Meet the team paid to break into topsecret bases,Hear from the team who test security by breaking into secure military facilities,BBC Business,2024-10-14T07:27:02.175438,meet team paid break topsecret base . hear team test security breaking secure military facility,0.5859,Positive
Why global gaming hits boss has a Brummie accent,The Chinese game sold more than 45 million copies within 24 hours,BBC Business,2024-10-14T07:27:02.175438,global gaming hit bos brummie accent . chinese game sold 45 million copy within 24 hour,0.0,Neutral
How Georgia is helping old US cars end up in Russia,The South Caucasus nation has a huge used car market with many vehicles ending up in Russia,BBC Business,2024-10-14T07:27:02.175438,georgia helping old u car end russia . south caucasus nation huge used car market many vehicle ending russia,0.5423,Positive
Mans sixyear hunt to expose Al Fayed abuse,Keaton Stone spent years compiling evidence after his fiancee told him she was a victim,BBC Business,2024-10-14T07:27:02.175438,man sixyear hunt expose al fayed abuse . keaton stone spent year compiling evidence fiancee told victim,-0.7845,Negative
Video games industry is booming in Northern Ireland,According to NI Screen there are about 40 gaming companies active in Northern Ireland,BBC Business,2024-10-14T07:27:02.175438,video game industry booming northern ireland . according ni screen 40 gaming company active northern ireland,0.4019,Positive
Tesla stock selloff after robotaxi launch 11 Oct 2024,The chair of the EV committee at Morningstar says its less about the technology than the timing,BBC Business,2024-10-14T07:27:02.175438,tesla stock selloff robotaxi launch 11 oct 2024. chair ev committee morningstar say less technology timing,0.0,Neutral
Trump electric vehicle attacks hit home for Michigan voters,Trumps EV criticism is part of his broader economic message as he tries to appeal to voters in the key swing state,BBC Business,2024-10-14T07:27:02.175438,trump electric vehicle attack hit home michigan voter . trump ev criticism part broader economic message try appeal voter key swing state,-0.7184,Negative
Swing state voters bombarded with ads will they make a difference,Record sums are being spent on advertising in the US election but will that make a difference,BBC Business,2024-10-14T07:27:02.175438,swing state voter bombarded ad make difference . record sum spent advertising u election make difference,0.0,Neutral
Good Bad Billionaire,Simon Jack and Zing Tsjeng find out how the worlds billionaires made their money and then judge them Are they good bad or just another billionaire Listen to season two New episodes released on Mondays,BBC Business,2024-10-14T07:27:02.175438,good bad billionaire . simon jack zing tsjeng find world billionaire made money judge good bad another billionaire listen season two new episode released monday,-0.296,Negative
How Duolingo became so addicting according to its CEO,Perhaps no app has mastered user loyalty quite like Duolingo the gamified languagelearning platform 34 million people a day cant put down,BBC Business,2024-10-14T07:27:02.175438,duolingo became addicting according ceo . perhaps app mastered user loyalty quite like duolingo gamified languagelearning platform 34 million people day cant put,0.7425,Positive
Forty new allegations against Al Fayed made to police,The Metropolitan Police had urged people to come forward with allegations,BBC Business,2024-10-14T07:27:02.175438,forty new allegation al fayed made police . metropolitan police urged people come forward allegation,0.0,Neutral
Tata leadership to remain in the family,Ratan Tatas halfbrother Noel Tata is the new chairman of the influential Tata Trusts,BBC Business,2024-10-14T07:27:02.175438,tata leadership remain family . ratan tatas halfbrother noel tata new chairman influential tata trust,0.7351,Positive
Canada to cover cost of contraception and diabetes drugs,The government said it is the initial phase of a plan that would expand to become a publicly funded national programme,BBC Business,2024-10-14T07:27:02.175438,canada cover cost contraception diabetes drug . government said initial phase plan would expand become publicly funded national programme,0.3182,Positive
How Chinas crackdown turned finance highflyers into rats,Chinese authorities have been cracking down on businesses from real estate to technology to finance,BBC Business,2024-10-14T07:27:02.175438,china crackdown turned finance highflyer rat . chinese authority cracking business real estate technology finance,0.0772,Neutral
Tesla shares slide after Cybercab robotaxi revealed,Elon Musk revealed a prototype of the longawaited robotaxi at a Hollywood film studio but investors arent wowed,BBC Business,2024-10-14T07:27:02.175438,tesla share slide cybercab robotaxi revealed . elon musk revealed prototype longawaited robotaxi hollywood film studio investor arent wowed,-0.1838,Neutral
China detains iPhone maker workers in strange case,The Taiwanese government suggested the detentions may be a case of abuse of power by Chinese police,BBC Business,2024-10-14T07:27:02.175438,china detains iphone maker worker strange case . taiwanese government suggested detention may case abuse power chinese police,-0.8176,Negative
Playing with FIRE How to quit work and retire in your 30s,A personal finance strategy popular among millennials is helping them to quit their job and retire decades early,BBC Business,2024-10-14T07:27:02.175438,playing fire quit work retire 30 . personal finance strategy popular among millennials helping quit job retire decade early,0.5267,Positive
Boomerang CEOs Do they ever succeed,Five years after being ousted from WeWork Adam Neumann wants to rebuy the nowbankrupt business,BBC Business,2024-10-14T07:27:02.175438,boomerang ceo ever succeed . five year ousted wework adam neumann want rebuy nowbankrupt business,0.5423,Positive
How industry leaders transformed their career,The BBCs Katty Kay has spoken to successful changemakers to ask what made them pivot in their career,BBC Business,2024-10-14T07:27:02.175438,industry leader transformed career . bbcs katty kay spoken successful changemakers ask made pivot career,0.5859,Positive
Women were the original beer brewers what changed,Today the beer industry is maledominated but it wasnt always so,BBC Business,2024-10-14T07:27:02.175438,woman original beer brewer changed . today beer industry maledominated wasnt always,0.3182,Positive
How waiting alters our perception of time,Expert advice on how to get through a waiting period,BBC Business,2024-10-14T07:27:02.175438,waiting alters perception time . expert advice get waiting period,0.0,Neutral
Do the superrich deserve their wealth,Should there be a cap on billionaires wealth and their inheritances,BBC Business,2024-10-14T07:27:02.175438,superrich deserve wealth . cap billionaire wealth inheritance,0.7506,Positive
Four simple hacks to succeed in every conversation,A career coach a choreographer a chef and a dragon boat captain offer advice on giving critical feedback,BBC Business,2024-10-14T07:27:02.175438,four simple hack succeed every conversation . career coach choreographer chef dragon boat captain offer advice giving critical feedback,0.5106,Positive
Solo and hybrid work Navigating our future and new normal,Covid19 reshaped the way we live and work We rethink solo working and explore the future of worklife,BBC Business,2024-10-14T07:27:02.175438,solo hybrid work navigating future new normal . covid19 reshaped way live work rethink solo working explore future worklife,0.0,Neutral
Can supersonic flight ever be sustainable,How a new era of quiet net zero supersonic airliners could revolutionise the aviation industry,BBC Business,2024-10-14T07:27:02.175438,supersonic flight ever sustainable . new era quiet net zero supersonic airliner could revolutionise aviation industry,0.0,Neutral
Commencement speech The surprising pitfall of your passions,Students are graduating in the US this week The commencement speeches might lead them into questionable choices,BBC Business,2024-10-14T07:27:02.175438,commencement speech surprising pitfall passion . student graduating u week commencement speech might lead questionable choice,0.4404,Positive
ASMR How whispering took over the internet,We meet the creators behind the current ASMR boom,BBC Business,2024-10-14T07:27:02.175438,asmr whispering took internet . meet creator behind current asmr boom,0.0,Neutral
A desk full of descriptions for your work colleagues,These are the long lost words youve been waiting for to describe your colleagues,BBC Business,2024-10-14T07:27:02.175438,desk full description work colleague . long lost word youve waiting describe colleague,-0.3182,Negative
Veterinarian suicide rates are very high Why,Veterinarian professionals are committing suicide at a higher rate than the general population,BBC Business,2024-10-14T07:27:02.175438,veterinarian suicide rate high . veterinarian professional committing suicide higher rate general population,-0.8658,Negative
Starmer pledges to scrap red tape to boost UK investment,Some of the worlds biggest firms have voiced confidence in the economy ahead of an investment summit,BBC Business,2024-10-14T07:27:02.175438,starmer pledge scrap red tape boost uk investment . world biggest firm voiced confidence economy ahead investment summit,0.7184,Positive
Force says it is envy of others on retail crime,Northamptonshire Police says it has seen increases in detection and charges for retail crime,BBC Business,2024-10-14T07:27:02.175438,force say envy others retail crime . northamptonshire police say seen increase detection charge retail crime,-0.7783,Negative
Mortgage costs unlikely to return to low levels,The boss of the UKs biggest lender says mortgage costs are unlikely to fall to levels seen in the past decade,BBC Business,2024-10-14T07:27:02.175438,mortgage cost unlikely return low level . bos uk biggest lender say mortgage cost unlikely fall level seen past decade,-0.2732,Negative
UK Budget rule change could mean fewer tax rises,Here is how the chancellor could choose to tweak the governments borrowing rules to free up more cash,BBC Business,2024-10-14T07:27:02.175438,uk budget rule change could mean fewer tax rise . chancellor could choose tweak government borrowing rule free cash,0.5106,Positive
PO owner to attend summit despite row over UK ministers comments,It had been feared they might pull out after Transport Secretary Louise Haigh criticised the ferry firm and urged consumers to boycott the company,BBC Business,2024-10-14T07:27:02.175438,po owner attend summit despite row uk minister comment . feared might pull transport secretary louise haigh criticised ferry firm urged consumer boycott company,-0.8979,Negative
Post Office scandal Five things we learned from the boss,The quizzing of Post Office chief executive Nick Read this week produced some key revelations,BBC Business,2024-10-14T07:27:02.175438,post office scandal five thing learned bos . quizzing post office chief executive nick read week produced key revelation,-0.4404,Negative
Talks over 1bn UK port expansion ongoing after row,Reports have suggested the plan was at risk after Transport Secretary Louise Haighs comments,BBC Business,2024-10-14T07:27:02.175438,talk 1bn uk port expansion ongoing row . report suggested plan risk transport secretary louise haighs comment,-0.2732,Negative
Labour accused of riding roughshod on solar farms,A council leader hits out after a project becomes the third to be unveiled in Norfolk recently,BBC Business,2024-10-14T07:27:02.175438,labour accused riding roughshod solar farm . council leader hit project becomes third unveiled norfolk recently,-0.296,Negative
Firms pausing hiring and investing ahead of UK government Budget,A leading business group says firms are delaying decisions wanting more clarity over the governments policies,BBC Business,2024-10-14T07:27:02.175438,firm pausing hiring investing ahead uk government budget . leading business group say firm delaying decision wanting clarity government policy,0.4019,Positive
The Blacklisting of a Great Artist Paul Robesons Exile From Hollywood,A preeminent artistactivist of the midtwentieth century his banishment by the studios lasted longer than any other performer of the blacklist era twentyfive years ending only with his death,Hollywood Reporter,2024-10-14T07:27:02.353698,blacklisting great artist paul robeson exile hollywood . preeminent artistactivist midtwentieth century banishment studio lasted longer performer blacklist era twentyfive year ending death,0.0516,Neutral
Channing Dungey Praises Debra Lee for Shattering Barriers Paving the Way for Women of Color in Media,The former BET CEO and Warner Bros Motion Picture Group coCEO Pamela Abdy were both honored at Big Brothers Big Sisters Los Angeles gala,Hollywood Reporter,2024-10-14T07:27:02.353698,channing dungey praise debra lee shattering barrier paving way woman color medium . former bet ceo warner bros motion picture group coceo pamela abdy honored big brother big sister los angeles gala,0.7845,Positive
