Title,Description,Source,Fetched Date,Combined Text,Score,Sentiment
TikTok users flock to Chinese app RedNote as US ban looms,A swarm of TikTok refugees has made RedNote the most downloaded app on Apples US App Store,BBC Business,2025-01-14T07:22:04.489576,tiktok user flock chinese app rednote u ban loom . swarm tiktok refugee made rednote downloaded app apple u app store,-0.6705,Negative
Buy something or leave Starbucks says,The policy being rolled out in the firms North American cafes comes as it tries to boost flagging sales,BBC Business,2025-01-14T07:22:04.489576,buy something leave starbucks say . policy rolled firm north american cafe come try boost flagging sale,0.3612,Positive
World of Business,Gain the leading edge with global insights for the boardroom and beyond in your inbox every Wednesday,BBC Business,2025-01-14T07:22:04.489576,world business . gain leading edge global insight boardroom beyond inbox every wednesday,0.5267,Positive
The truth behind your 12 dress Inside the Chinese factories fuelling Sheins success,Workers making clothes for the fast fashion giant tell the BBC they labour for up to 75 hours a week,BBC Business,2025-01-14T07:22:04.489576,truth behind 12 dress inside chinese factory fuelling sheins success . worker making clothes fast fashion giant tell bbc labour 75 hour week,0.7184,Positive
Norway leads world in electric cars What can others learn,Nine in 10 new cars in the country are now batterypowered and it aims to hit 100 later this year,BBC Business,2025-01-14T07:22:04.489576,norway lead world electric car others learn . nine 10 new car country batterypowered aim hit 100 later year,0.0,Neutral
TikTok says report of possible sale to Musk pure fiction,The firm has repeatedly said it will not sell its US operation as it face a 19 January deadline,BBC Business,2025-01-14T07:22:04.489576,tiktok say report possible sale musk pure fiction . firm repeatedly said sell u operation face 19 january deadline,0.0,Neutral
Spain plans 100 tax for homes bought by nonEU residents,The measure is meant to help tackle the countrys housing crisis the prime minister said,BBC Business,2025-01-14T07:22:04.489576,spain plan 100 tax home bought noneu resident . measure meant help tackle country housing crisis prime minister said,-0.34,Negative
US tightens control on AI chips export drawing pushback,The new rules are intended to make sure the the worlds AI runs on American rails and stays out of the hands of malicious actors say officials,BBC Business,2025-01-14T07:22:04.489576,u tightens control ai chip export drawing pushback . new rule intended make sure world ai run american rail stay hand malicious actor say official,0.6705,Positive
How a viral post saved a Chinese actor from Myanmars scam centres,Many Chinese are now asking what about their loved ones still trapped in scam centres,BBC Business,2025-01-14T07:22:04.489576,viral post saved chinese actor myanmar scam centre . many chinese asking loved one still trapped scam centre,-0.6249,Negative
Trump 20 looms large over the global economy,Donald Trumps planned tariffs are expected to greatly impact international trade in 2025,BBC Business,2025-01-14T07:22:04.489576,trump 20 loom large global economy . donald trump planned tariff expected greatly impact international trade 2025,-0.2263,Neutral
US stocks under pressure after jobs report 10 Jan 2025,The latest healthy US jobs report adds more uncertainty about whether the Fed will cut its key interest rate,BBC Business,2025-01-14T07:22:04.489576,u stock pressure job report 10 jan 2025. latest healthy u job report add uncertainty whether fed cut key interest rate,0.0,Neutral
Good Bad Billionaire,Simon Jack and Zing Tsjeng find out how the worlds billionaires made their money and then judge them Are they good bad or just another billionaire Listen to season two New episodes released on Mondays,BBC Business,2025-01-14T07:22:04.489576,good bad billionaire . simon jack zing tsjeng find world billionaire made money judge good bad another billionaire listen season two new episode released monday,-0.296,Negative
