Title,Description,Source,Fetched Date,Combined Text,Score,Sentiment
In the US DEI is under attack But under a different name it might live on,Donald Trump has promised to terminate diversity programmes But a rebrand might yet save them,BBC Business,2025-03-02T07:21:28.773492,u dei attack different name might live . donald trump promised terminate diversity programme rebrand might yet save,0.3818,Positive
US judge says mass firings of some federal workers likely illegal,Thousands of workers have been fired by the Trump administration as part of its effort to slash the federal workforce,BBC Business,2025-03-02T07:21:28.773492,u judge say mass firing federal worker likely illegal . thousand worker fired trump administration part effort slash federal workforce,-0.8934,Negative
World of Business,Gain the leading edge with global insights for the boardroom and beyond in your inbox every Wednesday,BBC Business,2025-03-02T07:21:28.773492,world business . gain leading edge global insight boardroom beyond inbox every wednesday,0.5267,Positive
UKUS trade deal could mean tariffs not necessary says Trump,The US president says a trade deal could happen very quickly and avoid taxes on UK imports,BBC Business,2025-03-02T07:21:28.773492,ukus trade deal could mean tariff necessary say trump . u president say trade deal could happen quickly avoid tax uk import,-0.296,Negative
Analysis Any Starmer deal with Trump is all about avoiding tariffs,A deal to avoid further trade barriers appears very much on the cards but challenges remain,BBC Business,2025-03-02T07:21:28.773492,analysis starmer deal trump avoiding tariff . deal avoid trade barrier appears much card challenge remain,-0.5859,Negative
What we know about USUkraine minerals deal,The White House said the deal which would give the US access to mineral deposits was not signed on Friday,BBC Business,2025-03-02T07:21:28.773492,know usukraine mineral deal . white house said deal would give u access mineral deposit signed friday,0.0,Neutral
Deal to buy Prince Andrews business unravels,A financial lifeline for Prince Andrew from the sale of PitchPalace seems unlikely to go ahead,BBC Business,2025-03-02T07:21:28.773492,deal buy prince andrew business unravels . financial lifeline prince andrew sale pitchpalace seems unlikely go ahead,0.0,Neutral
Microsoft announces Skype will close in May,The internet chat and phone service which is owned by Microsoft made the announcement on X,BBC Business,2025-03-02T07:21:28.773492,microsoft announces skype close may . internet chat phone service owned microsoft made announcement x,0.0,Neutral
Cook Islands China deal riles allies as Wests grip loosens,The recent spree of deals between the two is upsetting traditional allies wary of Beijing,BBC Business,2025-03-02T07:21:28.773492,cook island china deal riles ally west grip loosens . recent spree deal two upsetting traditional ally wary beijing,-0.4767,Negative
Pokmon boss believes series can last another 50 to 100 years,CEO Tsunekazu Ishihara speaks to the BBC about the future of the worlds most valuable media franchise,BBC Business,2025-03-02T07:21:28.773492,pokmon bos belief series last another 50 100 year . ceo tsunekazu ishihara speaks bbc future world valuable medium franchise,0.4767,Positive
NYSE Opening Bell,Watch the latest from BBCs new daily business programme coming from the heart of New Yorks financial district,BBC Business,2025-03-02T07:21:28.773492,nyse opening bell . watch latest bbcs new daily business programme coming heart new york financial district,0.0,Neutral
