Title,Description,Source,Fetched Date,Combined Text,Score,Sentiment
US markets watchdog sues Musk over Twitter stake disclosure,The complaint filed to a US federal court alleges Musk saved 150m at the expense of Twitter shareholders,BBC Business,2025-01-15T07:22:07.520746,u market watchdog sue musk twitter stake disclosure . complaint filed u federal court alleges musk saved 150m expense twitter shareholder,0.1531,Neutral
Meta cuts 5 of jobs to lose lowest performers,The company will shed roughly 3600 roles but plans to backfill the roles later in the year,BBC Business,2025-01-15T07:22:07.520746,meta cut 5 job lose lowest performer . company shed roughly 3600 role plan backfill role later year,-0.7506,Negative
World of Business,Gain the leading edge with global insights for the boardroom and beyond in your inbox every Wednesday,BBC Business,2025-01-15T07:22:07.520746,world business . gain leading edge global insight boardroom beyond inbox every wednesday,0.5267,Positive
LA fire victims fear new housing crisis,Thousands of people need new homes after losing everything Some fear they may never get back on the property ladder,BBC Business,2025-01-15T07:22:07.520746,la fire victim fear new housing crisis . thousand people need new home losing everything fear may never get back property ladder,-0.9485,Negative
Spain plans 100 tax for homes bought by nonEU residents,The measure is meant to help tackle the countrys housing crisis the prime minister said,BBC Business,2025-01-15T07:22:07.520746,spain plan 100 tax home bought noneu resident . measure meant help tackle country housing crisis prime minister said,-0.34,Negative
Boeing output hit by strikes and safety problems,The troubled manufacturer says deliveries fell by a third last year,BBC Business,2025-01-15T07:22:07.520746,boeing output hit strike safety problem . troubled manufacturer say delivery fell third last year,-0.5267,Negative
Buy something or leave Starbucks says,The policy being rolled out in the firms North American cafes comes as it tries to boost flagging sales,BBC Business,2025-01-15T07:22:07.520746,buy something leave starbucks say . policy rolled firm north american cafe come try boost flagging sale,0.3612,Positive
TikTok users flock to Chinese app RedNote as US ban looms,A swarm of TikTok refugees has made RedNote the most downloaded app on Apples US App Store,BBC Business,2025-01-15T07:22:07.520746,tiktok user flock chinese app rednote u ban loom . swarm tiktok refugee made rednote downloaded app apple u app store,-0.6705,Negative
The truth behind your 12 dress Inside the Chinese factories fuelling Sheins success,Workers making clothes for the fast fashion giant tell the BBC they labour for up to 75 hours a week,BBC Business,2025-01-15T07:22:07.520746,truth behind 12 dress inside chinese factory fuelling sheins success . worker making clothes fast fashion giant tell bbc labour 75 hour week,0.7184,Positive
Norway leads world in electric cars What can others learn,Nine in 10 new cars in the country are now batterypowered and it aims to hit 100 later this year,BBC Business,2025-01-15T07:22:07.520746,norway lead world electric car others learn . nine 10 new car country batterypowered aim hit 100 later year,0.0,Neutral
US shares open higher after new PPI reading 14 Jan 2025,US shares opened higher after the Producer Price Index rose at a slowerthanexpected pace in December,BBC Business,2025-01-15T07:22:07.520746,u share open higher new ppi reading 14 jan 2025. u share opened higher producer price index rose slowerthanexpected pace december,0.5267,Positive
Good Bad Billionaire,Simon Jack and Zing Tsjeng find out how the worlds billionaires made their money and then judge them Are they good bad or just another billionaire Listen to season two New episodes released on Mondays,BBC Business,2025-01-15T07:22:07.520746,good bad billionaire . simon jack zing tsjeng find world billionaire made money judge good bad another billionaire listen season two new episode released monday,-0.296,Negative
How one product made a multimillion dollar brand,Nell Diamond CEO of Hill House Home shares how her small business skyrocketed to global success with the launch of the Nap Dress in 2019,BBC Business,2025-01-15T07:22:07.520746,one product made multimillion dollar brand . nell diamond ceo hill house home share small business skyrocketed global success launch nap dress 2019,0.8074,Positive
UK bans cattle pigs and sheep imports from Germany after footandmouth case,The disease is contagious in livestock like cattle but poses no risk to humans or food safety,BBC Business,2025-01-15T07:22:07.520746,uk ban cattle pig sheep import germany footandmouth case . disease contagious livestock like cattle pose risk human food safety,-0.4215,Negative
TikTok says report of possible sale to Musk pure fiction,The firm has repeatedly said it will not sell its US operation as it face a 19 January deadline,BBC Business,2025-01-15T07:22:07.520746,tiktok say report possible sale musk pure fiction . firm repeatedly said sell u operation face 19 january deadline,0.0,Neutral
