Title,Description,Source,Fetched Date,Combined Text,Score,Sentiment
US Postal Service stops accepting parcels from China and Hong Kong,It says the suspension will be in place until further notice and did not offer a reason for the decision,BBC Business,2025-02-05T07:23:26.918360,u postal service stop accepting parcel china hong kong . say suspension place notice offer reason decision,0.1027,Neutral
100000 eggs stolen from one US grocer as bird flu drives up prices,The price of eggs has risen amid a bird flu epidemic making them an unexpectedly costly menu option,BBC Business,2025-02-05T07:23:26.918360,100000 egg stolen one u grocer bird flu drive price . price egg risen amid bird flu epidemic making unexpectedly costly menu option,-0.8316,Negative
World of Business,Gain the leading edge with global insights for the boardroom and beyond in your inbox every Wednesday,BBC Business,2025-02-05T07:23:26.918360,world business . gain leading edge global insight boardroom beyond inbox every wednesday,0.5267,Positive
Google drops pledge on AI use for weapons,The tech giant has updated the principles governing its development of artificial intelligence,BBC Business,2025-02-05T07:23:26.918360,google drop pledge ai use weapon . tech giant updated principle governing development artificial intelligence,-0.0516,Neutral
Why Trump tariffs could mean Barbie dolls cost more,The firm says it could raise prices and make changes to its supply chains to deal with new import taxes,BBC Business,2025-02-05T07:23:26.918360,trump tariff could mean barbie doll cost . firm say could raise price make change supply chain deal new import tax,0.0,Neutral
Billionaire and spiritual leader the Aga Khan dies,The philanthropist and spiritual leader died peacefully at the age of 88 in Lisbon Portugal,BBC Business,2025-02-05T07:23:26.918360,billionaire spiritual leader aga khan dy . philanthropist spiritual leader died peacefully age 88 lisbon portugal,-0.0516,Neutral
India looks on nervously as Trump wields tariff threat,Delhi hopes tariff cuts have put it ahead of the game but will that satisfy Trump or is trade action still on the table,BBC Business,2025-02-05T07:23:26.918360,india look nervously trump wields tariff threat . delhi hope tariff cut put ahead game satisfy trump trade action still table,-0.0516,Neutral
Ros Atkins on What is the US getting out of tariffs,The BBCs Analysis Editor takes a look at the latest round of tariffs announced by President Trump and what the US has got in return,BBC Business,2025-02-05T07:23:26.918360,ro atkins u getting tariff . bbcs analysis editor take look latest round tariff announced president trump u got return,0.0,Neutral
Ghana wants more for its cashews but its a tough nut to crack,The African nation exports its cashews in raw form but processing them would be more lucrative,BBC Business,2025-02-05T07:23:26.918360,ghana want cashew tough nut crack . african nation export cashew raw form processing would lucrative,-0.0516,Neutral
Five ways China is hitting back against US tariffs,China has set out a series of measures to kick in next week after the US introduced 10 tariffs on imports from the country,BBC Business,2025-02-05T07:23:26.918360,five way china hitting back u tariff . china set series measure kick next week u introduced 10 tariff import country,0.0,Neutral
Muted open for US stocks after tariff turmoil 5 Feb 2025,Expert says markets are looking at tariffs as negotiating tactics that are working well for the US,BBC Business,2025-02-05T07:23:26.918360,muted open u stock tariff turmoil 5 feb 2025. expert say market looking tariff negotiating tactic working well u,-0.1027,Neutral
Good Bad Billionaire,Simon Jack and Zing Tsjeng find out how the worlds billionaires made their money and then judge them Are they good bad or just another billionaire Listen to season two New episodes released on Mondays,BBC Business,2025-02-05T07:23:26.918360,good bad billionaire . simon jack zing tsjeng find world billionaire made money judge good bad another billionaire listen season two new episode released monday,-0.296,Negative
How one product made a multimillion dollar brand,Nell Diamond CEO of Hill House Home shares how her small business skyrocketed to global success with the launch of the Nap Dress in 2019,BBC Business,2025-02-05T07:23:26.918360,one product made multimillion dollar brand . nell diamond ceo hill house home share small business skyrocketed global success launch nap dress 2019,0.8074,Positive
The opening salvos have been fired in Trumps trade war what comes next,Are we seeing the opening moves in a wider trade war and what are the potential economic consequences,BBC Business,2025-02-05T07:23:26.918360,opening salvo fired trump trade war come next . seeing opening move wider trade war potential economic consequence,-0.9081,Negative
The Chinese AI app that has the world talking,A Chinese startup has built a lowcost AI model using less technologically advanced chips,BBC Business,2025-02-05T07:23:26.918360,chinese ai app world talking . chinese startup built lowcost ai model using less technologically advanced chip,0.1832,Neutral
Este Lauder ramps up job cuts as warns on tariffs,The firm that owns Clinique MAC and Bobbi Brown shedding double the number of jobs than planned warning of global volatility,BBC Business,2025-02-05T07:23:26.918360,este lauder ramp job cut warns tariff . firm owns clinique mac bobbi brown shedding double number job planned warning global volatility,-0.5574,Negative
Turmoil as Trump and Musk take aim at top US aid agency,Americas top diplomat Marco Rubio says he is now the acting head of the agency that distributes billions of dollars in aid around the world,BBC Business,2025-02-05T07:23:26.918360,turmoil trump musk take aim top u aid agency . america top diplomat marco rubio say acting head agency distributes billion dollar aid around world,0.0258,Neutral
Australia bans DeepSeek on government devices over security risk,The Australian government says the Chinese AI app is a threat to it and its assets,BBC Business,2025-02-05T07:23:26.918360,australia ban deepseek government device security risk . australian government say chinese ai app threat asset,-0.6369,Negative
South Africas president calls Musk to calm Trump land row,President Trump who Elon Musk advises has threatened to cut funding over South Africas land policy,BBC Business,2025-02-05T07:23:26.918360,south africa president call musk calm trump land row . president trump elon musk advises threatened cut funding south africa land policy,-0.4215,Negative
Playing with FIRE How to quit work and retire in your 30s,A personal finance strategy popular among millennials is helping them to quit their job and retire decades early,BBC Business,2025-02-05T07:23:26.918360,playing fire quit work retire 30 . personal finance strategy popular among millennials helping quit job retire decade early,0.5267,Positive
Boomerang CEOs Do they ever succeed,Five years after being ousted from WeWork Adam Neumann wants to rebuy the nowbankrupt business,BBC Business,2025-02-05T07:23:26.918360,boomerang ceo ever succeed . five year ousted wework adam neumann want rebuy nowbankrupt business,0.5423,Positive
How industry leaders transformed their career,The BBCs Katty Kay has spoken to successful changemakers to ask what made them pivot in their career,BBC Business,2025-02-05T07:23:26.918360,industry leader transformed career . bbcs katty kay spoken successful changemakers ask made pivot career,0.5859,Positive
Women were the original beer brewers what changed,Today the beer industry is maledominated but it wasnt always so,BBC Business,2025-02-05T07:23:26.918360,woman original beer brewer changed . today beer industry maledominated wasnt always,0.3182,Positive
How waiting alters our perception of time,Expert advice on how to get through a waiting period,BBC Business,2025-02-05T07:23:26.918360,waiting alters perception time . expert advice get waiting period,0.0,Neutral
Do the superrich deserve their wealth,Should there be a cap on billionaires wealth and their inheritances,BBC Business,2025-02-05T07:23:26.918360,superrich deserve wealth . cap billionaire wealth inheritance,0.7506,Positive
Four simple hacks to succeed in every conversation,A career coach a choreographer a chef and a dragon boat captain offer advice on giving critical feedback,BBC Business,2025-02-05T07:23:26.918360,four simple hack succeed every conversation . career coach choreographer chef dragon boat captain offer advice giving critical feedback,0.5106,Positive
Solo and hybrid work Navigating our future and new normal,Covid19 reshaped the way we live and work We rethink solo working and explore the future of worklife,BBC Business,2025-02-05T07:23:26.918360,solo hybrid work navigating future new normal . covid19 reshaped way live work rethink solo working explore future worklife,0.0,Neutral
Can supersonic flight ever be sustainable,How a new era of quiet net zero supersonic airliners could revolutionise the aviation industry,BBC Business,2025-02-05T07:23:26.918360,supersonic flight ever sustainable . new era quiet net zero supersonic airliner could revolutionise aviation industry,0.0,Neutral
Commencement speech The surprising pitfall of your passions,Students are graduating in the US this week The commencement speeches might lead them into questionable choices,BBC Business,2025-02-05T07:23:26.918360,commencement speech surprising pitfall passion . student graduating u week commencement speech might lead questionable choice,0.4404,Positive
ASMR How whispering took over the internet,We meet the creators behind the current ASMR boom,BBC Business,2025-02-05T07:23:26.918360,asmr whispering took internet . meet creator behind current asmr boom,0.0,Neutral
A desk full of descriptions for your work colleagues,These are the long lost words youve been waiting for to describe your colleagues,BBC Business,2025-02-05T07:23:26.918360,desk full description work colleague . long lost word youve waiting describe colleague,-0.3182,Negative
Veterinarian suicide rates are very high Why,Veterinarian professionals are committing suicide at a higher rate than the general population,BBC Business,2025-02-05T07:23:26.918360,veterinarian suicide rate high . veterinarian professional committing suicide higher rate general population,-0.8658,Negative
Why employees smuggle AI into work,Many staff are using AI at work without the permission of their employers,BBC Business,2025-02-05T07:23:26.918360,employee smuggle ai work . many staff using ai work without permission employer,-0.3818,Negative
Trumps trade war with neighbours is delayed what did they all get out of it,BBC reporters in the US Canada and Mexico assess the fallout after Trump gets border promises in return for a 30day pause on tariffs,BBC Business,2025-02-05T07:23:26.918360,trump trade war neighbour delayed get . bbc reporter u canada mexico assess fallout trump get border promise return 30day pause tariff,-0.5423,Negative
US sovereign wealth fund could buy TikTok Trump says,The president has kickstarted the creation of a national fund which he says could buy the social media platform,BBC Business,2025-02-05T07:23:26.918360,u sovereign wealth fund could buy tiktok trump say . president kickstarted creation national fund say could buy social medium platform,0.6486,Positive
Share falls ease after Trump tariff turmoil,US shares regained some ground after falling sharply in early trade as Trump paused tariffs on Mexico and Canada,BBC Business,2025-02-05T07:23:26.918360,share fall ease trump tariff turmoil . u share regained ground falling sharply early trade trump paused tariff mexico canada,0.4215,Positive
US and Mexico reach deal to put tariffs on hold for now,A trade war between the US and Mexico has been temporarily averted after the two sides agreed a deal,BBC Business,2025-02-05T07:23:26.918360,u mexico reach deal put tariff hold . trade war u mexico temporarily averted two side agreed deal,-0.4588,Negative
