Title,Description,Source,Fetched Date,Combined Text,Score,Sentiment
Starbucks to hire more baristas in bid to win back customers,The move to increase staff numbers comes as the coffee shop giant continues to see sales fall,BBC Business,2025-04-30T07:26:03.897591,starbucks hire baristas bid win back customer . move increase staff number come coffee shop giant continues see sale fall,0.7506,Positive
Xis real test is not Trumps trade war,The real battleground of the current trade war might be Chinas domestic economy,BBC Business,2025-04-30T07:26:03.897591,xi real test trump trade war . real battleground current trade war might china domestic economy,-0.8885,Negative
World of Business,Gain the leading edge with global insights for the boardroom and beyond in your inbox every Wednesday,BBC Business,2025-04-30T07:26:03.897591,world business . gain leading edge global insight boardroom beyond inbox every wednesday,0.5267,Positive
Trump calls Bezos as Amazon says no plan to show tariff price rises,Donald Trump called Amazon founder Jeff Bezos to complain about the plan which the company said had been rejected,BBC Business,2025-04-30T07:26:03.897591,trump call bezos amazon say plan show tariff price rise . donald trump called amazon founder jeff bezos complain plan company said rejected,-0.5267,Negative
Trump eases car tariffs after firms raised concerns,The president said the move would give companies relief while they adjust their supply chains,BBC Business,2025-04-30T07:26:03.897591,trump eas car tariff firm raised concern . president said move would give company relief adjust supply chain,0.4767,Positive
Richard Branson criticises Donald Trumps tariffs,Sir Richard Branson told the BBC he wanted to make London prosperous for everybody,BBC Business,2025-04-30T07:26:03.897591,richard branson criticises donald trump tariff . sir richard branson told bbc wanted make london prosperous everybody,0.2023,Neutral
Canada will deal with Trump on our terms Carney tells BBC,Speaking exclusively to the BBC Canadas PM says he will only visit the US when there is a serious discussion to be had,BBC Business,2025-04-30T07:26:03.897591,canada deal trump term carney tell bbc . speaking exclusively bbc canada pm say visit u serious discussion,-0.0772,Neutral
Fifty years after the war Vietnam faces a new US threat tariffs,The South East Asian country is on a path to prosperity The USChina trade war could change that,BBC Business,2025-04-30T07:26:03.897591,fifty year war vietnam face new u threat tariff . south east asian country path prosperity uschina trade war could change,-0.9042,Negative
How Armenia is trying to build a Silicon Valley in the Caucasus,The country is aiming to boost its technology sector by training children in tech from a young age,BBC Business,2025-04-30T07:26:03.897591,armenia trying build silicon valley caucasus . country aiming boost technology sector training child tech young age,0.4019,Positive
Could South America benefit from Trumps trade tariffs,Countries in the continent may see exports rise as both the US and China need new suppliers,BBC Business,2025-04-30T07:26:03.897591,could south america benefit trump trade tariff . country continent may see export rise u china need new supplier,0.4588,Positive
Highly unlikely for tariffs to be ratcheted up expert says,David Waddell says markets have sniffed out that there are reasons to be less pessimistic in this environment,BBC Business,2025-04-30T07:26:03.897591,highly unlikely tariff ratcheted expert say . david waddell say market sniffed reason less pessimistic environment,-0.2975,Negative
The exGoogle exec who wants to simplify your life,Marissa Mayer a former Google and Yahoo executive believes AI should simplify our lives,BBC Business,2025-04-30T07:26:03.897591,exgoogle exec want simplify life . marissa mayer former google yahoo executive belief ai simplify life,0.0772,Neutral
Analysis Carney wants to lead a G7 fightback on Trump tariffs,In winning the Canadian election Mark Carney becomes the biggest economic force against the US president,BBC Business,2025-04-30T07:26:03.897591,analysis carney want lead g7 fightback trump tariff . winning canadian election mark carney becomes biggest economic force u president,0.5719,Positive
How Spain powered back to life from unprecedented national blackout,However diversified Spains energy mix is the blackout required an enormous effort to get back up and running,BBC Business,2025-04-30T07:26:03.897591,spain powered back life unprecedented national blackout . however diversified spain energy mix blackout required enormous effort get back running,0.2732,Positive
Maltas golden passport scheme breaks EU law top court rules,The scheme lets people become citizens after paying buying or renting property of a certain value and donating to charity,BBC Business,2025-04-30T07:26:03.897591,malta golden passport scheme break eu law top court rule . scheme let people become citizen paying buying renting property certain value donating charity,0.7964,Positive
Trainer prices will rise due to tariffs says Adidas,Adidas says trade tariffs introduced by President Donald Trump will lead to price rises for US consumers,BBC Business,2025-04-30T07:26:03.897591,trainer price rise due tariff say adidas . adidas say trade tariff introduced president donald trump lead price rise u consumer,0.0,Neutral
