Title,Description,Source,Fetched Date,Combined Text,Score,Sentiment
Trumps steel and aluminium tariffs take effect but UK temporarily spared from 50 levy,The order raises import taxes for USbased firms buying from other countries from today but the levy remains at 25 for the UK,BBC Business,2025-06-04T07:28:01.344562,trump steel aluminium tariff take effect uk temporarily spared 50 levy . order raise import tax usbased firm buying country today levy remains 25 uk,0.0,Neutral
Musk calls Trumps tax bill a disgusting abomination,Billionaire says the bill which faces a key test in the Senate undercuts efforts to slash federal spending,BBC Business,2025-06-04T07:28:01.344562,musk call trump tax bill disgusting abomination . billionaire say bill face key test senate undercut effort slash federal spending,-0.6705,Negative
World of Business,Gain the leading edge with global insights for the boardroom and beyond in your inbox every Wednesday,BBC Business,2025-06-04T07:28:01.344562,world business . gain leading edge global insight boardroom beyond inbox every wednesday,0.5267,Positive
Debt and trade issues weaken UK growth OECD says,The policy group lowers its UK economy forecast due to trade barriers and Britains very thin financial buffer,BBC Business,2025-06-04T07:28:01.344562,debt trade issue weaken uk growth oecd say . policy group lower uk economy forecast due trade barrier britain thin financial buffer,-0.6597,Negative
Tesla is not interested in producing cars in India minister,This is the first time India has publicly admitted that it has not been able to lure investment dollars from Musk,BBC Business,2025-06-04T07:28:01.344562,tesla interested producing car india minister . first time india publicly admitted able lure investment dollar musk,0.4767,Positive
Trumps 50 tariffs on metals come into effect,Trump doubles down on his tariffs while sparing the UK from the latest duties,BBC Business,2025-06-04T07:28:01.344562,trump 50 tariff metal come effect . trump double tariff sparing uk latest duty,0.0,Neutral
UK temporarily spared from Trumps 50 steel tariffs,The executive order raises import taxes for US firms buying from other countries but the levy remains at 25 for the UK,BBC Business,2025-06-04T07:28:01.344562,uk temporarily spared trump 50 steel tariff . executive order raise import tax u firm buying country levy remains 25 uk,0.0,Neutral
Oreo maker sues Aldi in US over copycat packaging,The discount supermarket is being sued in a US court accused of imitating the American biscuit brand,BBC Business,2025-06-04T07:28:01.344562,oreo maker sue aldi u copycat packaging . discount supermarket sued u court accused imitating american biscuit brand,-0.296,Negative
US green energy firms brace for federal funding cuts,Billions of dollars of US federal funding for green energy projects hangs in the balance,BBC Business,2025-06-04T07:28:01.344562,u green energy firm brace federal funding cut . billion dollar u federal funding green energy project hang balance,0.2732,Positive
Winemakers finding Trumps tariffs hard to swallow,Wine producers in both France and the US are unhappy at the US presidents trade actions,BBC Business,2025-06-04T07:28:01.344562,winemaker finding trump tariff hard swallow . wine producer france u unhappy u president trade action,-0.4939,Negative
