Title,Description,Source,Fetched Date,Combined Text,Score,Sentiment
US says it may break up Google after landmark case,The measures could include structural requirements to stop firm from dominating the internet searches,BBC Business,2024-10-09T07:23:32.475458,u say may break google landmark case . measure could include structural requirement stop firm dominating internet search,-0.4767,Negative
Boeing withdraws 30 pay rise offer to striking staff,The aviation giant accused the union of not giving its proposals serious consideration,BBC Business,2024-10-09T07:23:32.475458,boeing withdraws 30 pay rise offer striking staff . aviation giant accused union giving proposal serious consideration,-0.128,Neutral
China hits back at EU with brandy tax,The tax on brandy imports is being seen by critics as a retaliatory move for recent EU tariffs on Chinesemade electric cars,BBC Business,2024-10-09T07:23:32.475458,china hit back eu brandy tax . tax brandy import seen critic retaliatory move recent eu tariff chinesemade electric car,-0.2732,Negative
The Scottish startup making onion skin packaging to reduce waste,UK households throw away an estimated 90 billion pieces of plastic packaging annually HUID wants to change that,BBC Business,2024-10-09T07:23:32.475458,scottish startup making onion skin packaging reduce waste . uk household throw away estimated 90 billion piece plastic packaging annually huid want change,-0.3612,Negative
TikTok sued for wreaking havoc on teen mental health,A bipartisan group of 14 attorneys general accuse the company of using addictive features to hook children,BBC Business,2024-10-09T07:23:32.475458,tiktok sued wreaking havoc teen mental health . bipartisan group 14 attorney general accuse company using addictive feature hook child,-0.6908,Negative
7Eleven shares jump as rival makes new buyout offer,Alimentation CoucheTard reportedly offered to pay over 47bn for the Japaneseowned retail giant,BBC Business,2024-10-09T07:23:32.475458,7eleven share jump rival make new buyout offer . alimentation couchetard reportedly offered pay 47bn japaneseowned retail giant,0.2023,Neutral
Amount UKs richest pay in income tax revealed,There is some concern tax rises in the Budget could prompt an exit of the superrich hurting UK finances,BBC Business,2024-10-09T07:23:32.475458,amount uk richest pay income tax revealed . concern tax rise budget could prompt exit superrich hurting uk finance,0.0772,Neutral
Brazil lifts ban on Musks X after it pays 5m fine,The countrys Supreme Court made the order after the platform also blocked certain accounts,BBC Business,2024-10-09T07:23:32.475458,brazil lift ban musk x pay 5m fine . country supreme court made order platform also blocked certain account,0.1027,Neutral
Uber boss Chinese EVs good for environment 8 Oct 2024,Uber CEO Dara Khosrowshahi says electric cars should be more affordable so that more drivers can switch to them,BBC Business,2024-10-09T07:23:32.475458,uber bos chinese ev good environment 8 oct 2024. uber ceo dara khosrowshahi say electric car affordable driver switch,0.4404,Positive
Supreme Court signals openness to Bidens ghost gun crackdown,The Biden administration has tried to crack down on the untraceable guns linked to criminal activity,BBC Business,2024-10-09T07:23:32.475458,supreme court signal openness bidens ghost gun crackdown . biden administration tried crack untraceable gun linked criminal activity,-0.5423,Negative
Were barely scraping by Gen Z says money matters in US election,The rising costs of groceries and rent are driving many young voters to the polls,BBC Business,2024-10-09T07:23:32.475458,barely scraping gen z say money matter u election . rising cost grocery rent driving many young voter poll,0.0258,Neutral
Good Bad Billionaire,Simon Jack and Zing Tsjeng find out how the worlds billionaires made their money and then judge them Are they good bad or just another billionaire Listen to season two New episodes released on Mondays,BBC Business,2024-10-09T07:23:32.475458,good bad billionaire . simon jack zing tsjeng find world billionaire made money judge good bad another billionaire listen season two new episode released monday,-0.296,Negative
How Duolingo became so addicting according to its CEO,Perhaps no app has mastered user loyalty quite like Duolingo the gamified languagelearning platform 34 million people a day cant put down,BBC Business,2024-10-09T07:23:32.475458,duolingo became addicting according ceo . perhaps app mastered user loyalty quite like duolingo gamified languagelearning platform 34 million people day cant put,0.7425,Positive
eBay to ban private ebike sales in UK over fire fears,The platform will clamp down on the sale of ebikes and ebike batteries in the UK from 31 October,BBC Business,2024-10-09T07:23:32.475458,ebay ban private ebike sale uk fire fear . platform clamp sale ebikes ebike battery uk 31 october,-0.8481,Negative
Wait a few more minutes for an electric Uber says boss,The platform wants customers to go green as it tries to boost the takeup of electric cars,BBC Business,2024-10-09T07:23:32.475458,wait minute electric uber say bos . platform want customer go green try boost takeup electric car,0.4588,Positive
UK annual deaths outnumbered births figures show,The UKs population has still increased with net migration the main contributor,BBC Business,2024-10-09T07:23:32.475458,uk annual death outnumbered birth figure show . uk population still increased net migration main contributor,-0.4215,Negative
China stock rally fizzles as stimulus news disappoints,Shares fell back after a news conference by economic planners gave little in the way of details,BBC Business,2024-10-09T07:23:32.475458,china stock rally fizzle stimulus news disappoints . share fell back news conference economic planner gave little way detail,-0.1027,Neutral
US judge orders Google to open app store to rivals,It is among several remedies ordered in a case brought against the firm by Fortnitemaker Epic Games,BBC Business,2024-10-09T07:23:32.475458,u judge order google open app store rival . among several remedy ordered case brought firm fortnitemaker epic game,0.0,Neutral
Customers of failed crypto firm FTX set for refunds,The agreement will put an end to a saga that started when the firm went bankrupt in November 2022,BBC Business,2024-10-09T07:23:32.475458,customer failed crypto firm ftx set refund . agreement put end saga started firm went bankrupt november 2022,-0.5719,Negative
Playing with FIRE How to quit work and retire in your 30s,A personal finance strategy popular among millennials is helping them to quit their job and retire decades early,BBC Business,2024-10-09T07:23:32.475458,playing fire quit work retire 30 . personal finance strategy popular among millennials helping quit job retire decade early,0.5267,Positive
Boomerang CEOs Do they ever succeed,Five years after being ousted from WeWork Adam Neumann wants to rebuy the nowbankrupt business,BBC Business,2024-10-09T07:23:32.475458,boomerang ceo ever succeed . five year ousted wework adam neumann want rebuy nowbankrupt business,0.5423,Positive
How industry leaders transformed their career,The BBCs Katty Kay has spoken to successful changemakers to ask what made them pivot in their career,BBC Business,2024-10-09T07:23:32.475458,industry leader transformed career . bbcs katty kay spoken successful changemakers ask made pivot career,0.5859,Positive
Women were the original beer brewers what changed,Today the beer industry is maledominated but it wasnt always so,BBC Business,2024-10-09T07:23:32.475458,woman original beer brewer changed . today beer industry maledominated wasnt always,0.3182,Positive
How waiting alters our perception of time,Expert advice on how to get through a waiting period,BBC Business,2024-10-09T07:23:32.475458,waiting alters perception time . expert advice get waiting period,0.0,Neutral
Do the superrich deserve their wealth,Should there be a cap on billionaires wealth and their inheritances,BBC Business,2024-10-09T07:23:32.475458,superrich deserve wealth . cap billionaire wealth inheritance,0.7506,Positive
Four simple hacks to succeed in every conversation,A career coach a choreographer a chef and a dragon boat captain offer advice on giving critical feedback,BBC Business,2024-10-09T07:23:32.475458,four simple hack succeed every conversation . career coach choreographer chef dragon boat captain offer advice giving critical feedback,0.5106,Positive
Solo and hybrid work Navigating our future and new normal,Covid19 reshaped the way we live and work We rethink solo working and explore the future of worklife,BBC Business,2024-10-09T07:23:32.475458,solo hybrid work navigating future new normal . covid19 reshaped way live work rethink solo working explore future worklife,0.0,Neutral
Can supersonic flight ever be sustainable,How a new era of quiet net zero supersonic airliners could revolutionise the aviation industry,BBC Business,2024-10-09T07:23:32.475458,supersonic flight ever sustainable . new era quiet net zero supersonic airliner could revolutionise aviation industry,0.0,Neutral
Commencement speech The surprising pitfall of your passions,Students are graduating in the US this week The commencement speeches might lead them into questionable choices,BBC Business,2024-10-09T07:23:32.475458,commencement speech surprising pitfall passion . student graduating u week commencement speech might lead questionable choice,0.4404,Positive
ASMR How whispering took over the internet,We meet the creators behind the current ASMR boom,BBC Business,2024-10-09T07:23:32.475458,asmr whispering took internet . meet creator behind current asmr boom,0.0,Neutral
A desk full of descriptions for your work colleagues,These are the long lost words youve been waiting for to describe your colleagues,BBC Business,2024-10-09T07:23:32.475458,desk full description work colleague . long lost word youve waiting describe colleague,-0.3182,Negative
Veterinarian suicide rates are very high Why,Veterinarian professionals are committing suicide at a higher rate than the general population,BBC Business,2024-10-09T07:23:32.475458,veterinarian suicide rate high . veterinarian professional committing suicide higher rate general population,-0.8658,Negative
Northern Irelands private sector continues to grow,Septembers survey suggests the service sector is the engine of growth and manufacturing is recovering,BBC Business,2024-10-09T07:23:32.475458,northern ireland private sector continues grow . september survey suggests service sector engine growth manufacturing recovering,0.3818,Positive
Firms promised millions from UKs new gigafactory,An open day has been held for companies wanting to supply a huge electric car battery factory being built in Somerset,BBC Business,2024-10-09T07:23:32.475458,firm promised million uk new gigafactory . open day held company wanting supply huge electric car battery factory built somerset,0.5859,Positive
HS2 may now run to central London minister says,The Transport Secretary says it would make no sense to have the line terminate in west London,BBC Business,2024-10-09T07:23:32.475458,hs2 may run central london minister say . transport secretary say would make sense line terminate west london,0.0,Neutral
TGI Fridays 1000 UK jobs to go despite rescue deal,The deal to save the chain will see more than 30 of its restaurants close,BBC Business,2024-10-09T07:23:32.475458,tgi friday 1000 uk job go despite rescue deal . deal save chain see 30 restaurant close,0.1275,Neutral
When is the Budget and what might be in it,Chancellor Rachel Reeves will set out the governments financial plans for the next year,BBC Business,2024-10-09T07:23:32.475458,budget might . chancellor rachel reef set government financial plan next year,0.0,Neutral
House prices close to record high says Halifax,Falling mortgage rates have helped to boost confidence among buyers the lender says,BBC Business,2024-10-09T07:23:32.475458,house price close record high say halifax . falling mortgage rate helped boost confidence among buyer lender say,0.6597,Positive
ScotRail timetable returns to normal after pay row,A reduced service has been running since July but the normal schedule will resume after a pay dispute was resolved,BBC Business,2024-10-09T07:23:32.475458,scotrail timetable return normal pay row . reduced service running since july normal schedule resume pay dispute resolved,-0.4215,Negative
Perfect storm blocking thousands of desperately needed social homes,Housebuilders say they have thousands of social homes ready to be built but no customers to buy them,BBC Business,2024-10-09T07:23:32.475458,perfect storm blocking thousand desperately needed social home . housebuilder say thousand social home ready built customer buy,0.25,Positive
Bankers neither villains nor rock stars says Industry creator,The creators of BBC drama Industry discuss stereotypes of bankers and what makes their series different,BBC Business,2024-10-09T07:23:32.475458,banker neither villain rock star say industry creator . creator bbc drama industry discus stereotype banker make series different,0.1591,Neutral
Kamala Harris Wins Howard Sterns Vote Calls Out Donald Trumps Lack of Empathy in Live Interviews,The VP visited Sterns SiriusXM show and The View on Tuesday and will later be interviewed by Stephen Colbert,Hollywood Reporter,2024-10-09T07:23:32.740460,kamala harris win howard stern vote call donald trump lack empathy live interview . vp visited stern siriusxm show view tuesday later interviewed stephen colbert,0.3612,Positive
