Title,Description,Source,Fetched Date,Combined Text,Score,Sentiment
USChina talks end with plan for Trump and Xi to approve,The US Commerce Secretary said the deal should result in some restrictions being resolved,BBC Business,2025-06-11T07:28:13.660148,uschina talk end plan trump xi approve . u commerce secretary said deal result restriction resolved,-0.1027,Neutral
Budget airline Jetstar Asia to close in weeks customers offered refunds,Jetstar Asia has struggled with rising supplier costs high airport fees and increased competition,BBC Business,2025-06-11T07:28:13.660148,budget airline jetstar asia close week customer offered refund . jetstar asia struggled rising supplier cost high airport fee increased competition,-0.0772,Neutral
World of Business,Gain the leading edge with global insights for the boardroom and beyond in your inbox every Wednesday,BBC Business,2025-06-11T07:28:13.660148,world business . gain leading edge global insight boardroom beyond inbox every wednesday,0.5267,Positive
Ros Atkins on the UKs changing energy mix,Ros Atkins looks at the reasons behind the governments investment in nuclear power and how its plan fits into the UKs energy mix,BBC Business,2025-06-11T07:28:13.660148,ro atkins uk changing energy mix . ro atkins look reason behind government investment nuclear power plan fit uk energy mix,0.6908,Positive
HBO and CNN owner to split streaming and cable businesses,It comes as streaming services attract hundreds of millions of users around the world but cable TV has seen audiences decline,BBC Business,2025-06-11T07:28:13.660148,hbo cnn owner split streaming cable business . come streaming service attract hundred million user around world cable tv seen audience decline,0.3612,Positive
Average Australian home passes A1m amid housing crisis,The nation is home to some of the least affordable cities on Earth to buy a property,BBC Business,2025-06-11T07:28:13.660148,average australian home pass a1m amid housing crisis . nation home least affordable city earth buy property,-0.6249,Negative
US tariff turmoil makes Spains flagship foods seek other markets,Spanish ham and olive oil producers are looking at other nations to replace sales in the US,BBC Business,2025-06-11T07:28:13.660148,u tariff turmoil make spain flagship food seek market . spanish ham olive oil producer looking nation replace sale u,-0.2732,Negative
World Bank predicts worst decade for global growth since 60s,The US Japan and the euro area are all expected to have lower growth as Trumps tariffs bite,BBC Business,2025-06-11T07:28:13.660148,world bank predicts worst decade global growth since 60 . u japan euro area expected lower growth trump tariff bite,-0.2732,Negative
How airline fees have turned baggage into billions,The amount carriers now charge for luggage is raising the ire of politicians and consumer groups,BBC Business,2025-06-11T07:28:13.660148,airline fee turned baggage billion . amount carrier charge luggage raising ire politician consumer group,0.0,Neutral
US green energy firms brace for federal funding cuts,Billions of dollars of US federal funding for green energy projects hangs in the balance,BBC Business,2025-06-11T07:28:13.660148,u green energy firm brace federal funding cut . billion dollar u federal funding green energy project hang balance,0.2732,Positive
Pressure on as USChina resume trade talks 9 Jun 2025,Markets react well as negotiators from Washington and Beijing meet in London to find a way forward,BBC Business,2025-06-11T07:28:13.660148,pressure uschina resume trade talk 9 jun 2025. market react well negotiator washington beijing meet london find way forward,-0.0258,Neutral
From festivals to weddings Why drone shows are booming,Light shows involving hundreds and even thousands of drones are becoming big attractions,BBC Business,2025-06-11T07:28:13.660148,festival wedding drone show booming . light show involving hundred even thousand drone becoming big attraction,0.7351,Positive
Uber brings forward trialling driverless taxis in UK,The autonomous cars with no human safety driver at the wheel will be trialled in London next spring,BBC Business,2025-06-11T07:28:13.660148,uber brings forward trialling driverless taxi uk . autonomous car human safety driver wheel trialled london next spring,0.4215,Positive
UK firms hold off on hiring as job vacancies fall,The employment market is weakening official figures suggest as cautious businesses delay recruitment,BBC Business,2025-06-11T07:28:13.660148,uk firm hold hiring job vacancy fall . employment market weakening official figure suggest cautious business delay recruitment,-0.6124,Negative
Eurostar plans direct trains to Frankfurt and Geneva,The firm hopes a fleet of up to 50 new trains will be up and running by the early 2030s,BBC Business,2025-06-11T07:28:13.660148,eurostar plan direct train frankfurt geneva . firm hope fleet 50 new train running early 2030s,0.4404,Positive
Chinas electric cars are becoming slicker and cheaper but is there a deeper cost,The future for EVs will inevitably involve China But where does that leave the UK and Europe markets and what of the questions around national security,BBC Business,2025-06-11T07:28:13.660148,china electric car becoming slicker cheaper deeper cost . future ev inevitably involve china leave uk europe market question around national security,0.3818,Positive
US and China meet for trade talks in London,Fresh talks aimed at resolving the trade war between the worlds two largest economies are taking place,BBC Business,2025-06-11T07:28:13.660148,u china meet trade talk london . fresh talk aimed resolving trade war world two largest economy taking place,0.0,Neutral
Canada pledges to meet Natos 2 defence spending target within a year,Prime Minister Mark Carney said Canada could no longer be dependent on the US for its security and must act to secure its own borders,BBC Business,2025-06-11T07:28:13.660148,canada pledge meet nato 2 defence spending target within year . prime minister mark carney said canada could longer dependent u security must act secure border,0.6369,Positive
Playing with FIRE How to quit work and retire in your 30s,A personal finance strategy popular among millennials is helping them to quit their job and retire decades early,BBC Business,2025-06-11T07:28:13.660148,playing fire quit work retire 30 . personal finance strategy popular among millennials helping quit job retire decade early,0.5267,Positive
